,MMM,ABT,ABBV,ACN,ATVI,AYI,ADBE,AMD,AAP,AES,AET,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL,GOOG,MO,AMZN,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,ABC,AME,AMGN,APH,APC,ADI,ANDV,ANSS,ANTM,AON,AOS,APA,AIV,AAPL,AMAT,ADM,ARNC,AJG,AIZ,T,ADSK,ADP,AZO,AVB,AVY,BHGE,BLL,BAC,BK,BCR,BAX,BBT,BDX
AET,0.955509675133701,0.9206697506014686,0.9055078041443535,0.9326542341774404,0.9378605613265603,0.9551786649398056,0.9569942578238344,-0.4337737119658187,0.9408511350039391,-0.23169155557683135,1.0,0.8722059173244044,0.9027013007709223,0.5839785108569684,0.9562604046580672,0.30045359653395365,0.9266720781891695,0.806841319331784,0.8773215813023232,0.8536428214254547,0.919488018961022,0.9022265429247307,0.8879357940107883,0.8901609720759255,0.9452648922606147,0.9107913693008578,0.923852256520423,0.9200119720110066,0.9499061141101685,0.9045864496379721,0.9216660457137086,0.6472285194859376,0.9466610535728667,0.8179454131754065,-0.5711026680098364,0.8892955287840733,0.9474934340853013,0.8897997052882965,0.9301374685819851,0.8997864846638279,0.9019992423934905,0.9448905516407203,0.6420469347542704,0.6644995130832053,0.9619237377223222,0.8791455294834912,0.9760771088025698,0.9433479968341388,0.9405378845584729,0.3005555451320461,0.9128160697457278,0.8894454843620565,0.24882461723099522,0.8809094962875673,-0.4513404872798127,0.8922771057702394,0.9250303436766043,0.830318034250435,0.8985011208424724,0.9203851639658346,0.9293344293816022,0.9206183899648628,0.7267808627216396,0.4439714204547584,0.9463750229477226,-0.16176606173998515,0.5560744186181399,0.9667952887675791,0.858468472292909,0.864994859766118,0.9686267519189032
AMG,0.8786578672066969,0.9144385415834086,0.1597310276530213,0.8436671717733628,0.75985527893825,0.7642073493244534,0.8142114757821922,-0.47006287528149515,0.8541858862084775,-0.20335554424570385,0.8722059173244044,1.0,0.888267222931424,0.5741210330854424,0.9033897684180138,0.3059462848487268,0.7874820813891084,0.8405610246177736,0.804287707976925,0.8858922310643033,0.8161520099382772,-0.5746486942464015,0.8157556824734841,0.9418284172330074,0.8614527200449197,0.8444036254319818,0.8016013729169666,0.8045354600093082,0.8304523915254723,0.7448166631283001,0.7885052164966535,0.6029461357969894,0.8712985231125987,0.9425869595910407,-0.5949650848025614,0.8621611268416093,0.7236958417882203,0.9505733178936785,0.8890650807644275,0.9400674675391224,0.7959278450317447,0.898666038562636,0.8443720833380496,0.588690602614217,0.8858443958794191,0.8999886497649465,0.8602982554085544,0.8760584772483905,0.7978694769676699,0.4584897235943456,0.835361696523112,0.8694710754794186,0.14039623889436245,0.9082626555558401,-0.42136203177857007,0.89541470988585,0.7844305432481995,0.8065995739472228,0.8647512413628874,0.839300386967077,0.8417006354051473,0.891178017265569,0.5167007465506958,0.5521929194666045,0.8887828978907374,-0.1856173625197038,0.4656796601574346,0.8495857573294457,0.837792420552857,0.8421306122918836,0.8605124571464664
AFL,0.9090118440550384,0.876123250622782,0.7254714731902009,0.886363811264775,0.8848491878486587,0.8617080925747772,0.8744396701563353,-0.5133278545560775,0.8542200747409978,-0.257576089805068,0.9027013007709223,0.888267222931424,1.0,0.5365285513868585,0.9398780546530248,0.2374600675390294,0.7922894744623429,0.8935864381160016,0.8986268349203674,0.7979452672374256,0.8707791396484856,0.7273934322052,0.7610983683492805,0.8510649670972968,0.9026805549556437,0.8359016904013279,0.8980308346071616,0.8999420264961683,0.8796792779102647,0.8384267577537468,0.83998270377859,0.44496871668184534,0.8978121836910378,0.8194211323740237,-0.6548935319389659,0.8679801415865538,0.8406132134035255,0.8557805687642959,0.8460682816365032,0.9056795152029312,0.7613263072921169,0.9232933937409148,0.7855053388641823,0.5469500051534766,0.854867514637491,0.9157371143021965,0.8446456271492686,0.8922980835224532,0.8535375007623518,0.5615205218210146,0.8470712672174534,0.8493516254046275,0.1272638339734701,0.9049524349154559,-0.44650530075845063,0.8672589381732222,0.899201177490364,0.8209594631767368,0.9047970598153074,0.8333889715727972,0.8572310477092291,0.9030161778350111,0.587529913356677,0.5471796565493815,0.9049919319916064,-0.1826860541564148,0.4760822740293106,0.9226529446834499,0.8775683822850663,0.8205093023510528,0.9289193158628145
A,0.6019009174183908,0.5949481597551873,0.8068422730358146,0.9250736284704223,0.5616964809333157,0.8793270007348767,0.6752420046627701,0.0017964795485436965,0.8999630261509768,0.34428562814436603,0.5839785108569684,0.5741210330854424,0.5365285513868585,1.0,0.5911413021454113,0.7712736029150074,0.6467034012314032,0.5650907353695276,0.4319632893492641,0.6582004356795581,0.9049061748819676,0.5796973333925294,0.6515792610728365,0.9005906073540254,0.6557283295043543,0.47957810855226846,0.9187882648604025,0.9210311100237197,0.6182442665801988,0.6491860880519549,0.456140105619199,0.5401551681545892,0.6307389451786135,0.6666057370954129,-0.29771113078091005,0.760882689303059,0.8888317611706249,0.9245649554228547,0.6081784334122696,0.602195339381573,0.6584327280348518,0.6466716211450217,0.4437907353424675,0.847446468560441,0.5923200996674863,0.5701221486133969,0.8722591019020243,0.6661344167417966,0.6368217998806539,0.08982480811778183,0.6130917600565248,0.6311119260396247,0.7279184692085605,0.48962602103440334,-0.23671857565093793,0.5847520501117609,0.8632780606904098,0.7329580978569552,0.5189408630692065,0.7065193067173542,0.6121821321395277,0.5816999777269881,0.5070509531956395,0.22092312746928103,0.5861276729628428,-0.350914370434267,0.5575837455765302,0.5663649387730953,0.5733204078613887,0.42857867731717675,0.588697835892028
APD,0.9696003469472482,0.9535805317377664,0.9289721511287753,0.9589718113661626,0.9389094665228405,0.9369813657451359,0.9240125421258104,-0.5653134205711058,0.9567653100826478,-0.26914485722325904,0.9562604046580672,0.9033897684180138,0.9398780546530248,0.5911413021454113,1.0,0.2890627669728435,0.9046020009715554,0.8979910714238593,0.866473563628487,0.9003876532333173,0.932398213954474,0.8066955970525277,0.8831574346006257,0.9287134243964764,0.9637170186076595,0.8413794927946764,0.9551131343358074,0.9546198517088267,0.9610259354219924,0.9075539664698657,0.8464093090560876,0.4932896427497797,0.9599965538980103,0.8334244019059268,-0.706179441348302,0.9267002912555271,0.9294635728828725,0.9311882719168467,0.9458870453396379,0.9528808558831282,0.8613174450468247,0.9840491228024495,0.7681162596581987,0.6382793848853747,0.9128609153456727,0.9460146339456575,0.9219136192972062,0.9657807409873764,0.9290380706133854,0.4450796948820687,0.8846248141431815,0.9442725300215912,0.19621190298583463,0.9185536369625473,-0.527610656385428,0.923623382059042,0.8905385934564706,0.8693679240790786,0.8869166184518408,0.9303607116450529,0.9510434650195192,0.9486490532383571,0.6048590839597885,0.4457540186819413,0.977112849511246,-0.3156795747623523,0.4949005575556026,0.9740029873622139,0.9228217918108066,0.8120097379356103,0.9813582407288414
AKAM,0.27815079322008296,0.288331823528653,0.7098376429451524,0.8146699544661997,0.2671120023508142,0.7712538494273505,0.37140766851988904,0.08189753508016513,0.8271889177281463,0.35953396225493367,0.30045359653395365,0.3059462848487268,0.2374600675390294,0.7712736029150074,0.2890627669728435,1.0,0.34958713176541495,0.2668022607131626,0.2093443402757361,0.3632831763825143,0.7803650862001432,0.17519975844382618,0.35307464537771605,0.8380258504390249,0.3327855508832424,0.20370306368179292,0.7899840547207814,0.7899190265837963,0.3004216579524942,0.33164377193776323,0.16543758234040476,0.6996691135957183,0.293006774239116,0.395170689711614,-0.15404853024596277,0.4791697327425361,0.7491191306573811,0.865559981648468,0.30838375095214554,0.3051693142127007,0.3588116300024871,0.34208094341165673,0.20707958105711685,0.5498617670488959,0.33609490629727534,0.28542459755071936,0.850757832863023,0.33826864056853156,0.3161746645837698,0.014695950112860926,0.31208760407321795,0.340269109815711,0.5926739397799227,0.2760423276816948,-0.09856995530449095,0.22646555061982265,0.7976626620952378,0.41565792726286005,0.27280285617806316,0.3664073494535288,0.3005113125206322,0.3028888326608878,0.2983701812479765,0.1056196835588908,0.2818502173786912,-0.20634406859298096,0.33446120559481585,0.2813192214663867,0.24313812419853606,0.14444506864220846,0.2940968509158222
ALK,0.9461242328383133,0.9156600040708459,0.8434223875390418,0.9446283054774082,0.9046376460332587,0.9659089982942642,0.9265067870106243,-0.42897149551833624,0.9655452765054585,-0.16068290692350412,0.9266720781891695,0.7874820813891084,0.7922894744623429,0.6467034012314032,0.9046020009715554,0.34958713176541495,1.0,0.7332478638921228,0.6989247412142366,0.9045830563561347,0.9352935008316716,0.8003204501507563,0.9651177745513955,0.9032967570932752,0.9300901335729759,0.822879072745024,0.9409202866361928,0.9372308784604032,0.9556618064742223,0.9376082113606681,0.8155947570026864,0.5847376878312673,0.9287207950150422,0.7821199875295184,-0.5469967840991318,0.8834256345325745,0.9372527216778905,0.8970318843926566,0.9566483953669681,0.875019280126853,0.9582113236919055,0.9273840896100775,0.5328930677900477,0.7897678954268611,0.9104720699695656,0.8306094165466831,0.9175181425608979,0.9439450164346908,0.9693787687637485,0.07211383002210274,0.876584820400441,0.9045944126400524,0.36561875664939575,0.7451049630003684,-0.5242934948219331,0.9078511288197424,0.8524344634858302,0.8296687965533638,0.738619532022474,0.9704161125775754,0.9564640155014645,0.8613180207520826,0.7298792462869172,0.18635674150488615,0.9252681062438416,-0.343121718538416,0.5562354472573654,0.9079715915325818,0.8152446719268241,0.7879194003113007,0.9171508864790966
ALB,0.8563783487820497,0.8528027844679141,0.22813041892317718,0.8923694460949789,0.8289010329852264,0.7837581201715176,0.7681889196342736,-0.5846464131655715,0.8170909742126461,-0.2776209835896407,0.806841319331784,0.8405610246177736,0.8935864381160016,0.5650907353695276,0.8979910714238593,0.2668022607131626,0.7332478638921228,1.0,0.8097466667906992,0.8125718507165071,0.8431775597192849,0.4136642487411369,0.6915064931002141,0.8205025538111931,0.9021962826897914,0.661785250987936,0.8250755005448335,0.8305562387366416,0.8682908040717243,0.8382352398458751,0.7011268992715394,0.19283174692599891,0.8688077496490794,0.7821337042229417,-0.7924940731290014,0.8953979233142989,0.7930029149034037,0.7398412973783872,0.8058951855039928,0.9154896861080148,0.6767604663542094,0.908442496626979,0.8503110216800733,0.5289329201704309,0.7558758645519574,0.946483549523948,0.7221692176134323,0.8618612636071227,0.8125793031348691,0.6197643296741161,0.7893053061464484,0.8863086015450063,0.06112652083546249,0.8482484617986205,-0.6283706273921805,0.8678761057276776,0.6990804987179747,0.8604753261356819,0.8257898402742577,0.8119188090865964,0.8694117450383084,0.9237792594355257,0.3970233029447202,0.4352483126895411,0.9029709848281313,-0.43788851248955085,0.2723758064996875,0.8791008205920912,0.8977255503181135,0.6893283179448092,0.8797010765457106
ARE,0.8102278754762843,0.7716863626047369,0.8414192999036784,0.7807513799716024,0.8276820272168244,0.7881192514473191,0.8177600096556329,-0.3882800620504375,0.7516353522627826,-0.28464002648818293,0.8773215813023232,0.804287707976925,0.8986268349203674,0.4319632893492641,0.866473563628487,0.2093443402757361,0.6989247412142366,0.8097466667906992,1.0,0.6551498098925987,0.7495354133959616,0.8869974217528819,0.6297789824435784,0.7077903191106183,0.8291338918380374,0.8369040661537637,0.7409104272709894,0.7387130850946508,0.8013291107742855,0.7305600812898281,0.8767267047239177,0.6483859537020981,0.8268346112690665,0.7122279274203728,-0.5416041255706482,0.7718582716353014,0.8285414118451744,0.6826643294860922,0.7423035665576896,0.7832519484078425,0.6617100458320517,0.8242249037569838,0.6740101378574516,0.4084174270233439,0.8372387073323819,0.8078703295835977,0.8418809119532916,0.7812309777287055,0.7515981511970579,0.5687039970951943,0.8639377186472205,0.7529881029000647,0.0683283584947774,0.8849316629619506,-0.2944227969257336,0.7297627215183674,0.8917848780643576,0.7196139540152564,0.94088369343565,0.7143794161519048,0.7553465779847158,0.88685621608661,0.5905246672567427,0.6901940655818919,0.8249942092822382,0.03604448603846271,0.43942208926974013,0.8789443657914723,0.7799606323293959,0.8090730229954718,0.8723970091122406
ALXN,0.910873755111798,0.9597191888036974,0.6305149436747147,0.9243101296701973,0.814715857562076,0.8550521632206428,0.8306346978046969,-0.5432908983935832,0.9493307812529348,-0.16978582466700018,0.8536428214254547,0.8858922310643033,0.7979452672374256,0.6582004356795581,0.9003876532333173,0.3632831763825143,0.9045830563561347,0.8125718507165071,0.6551498098925987,1.0,0.8865424558055992,-0.2511040564034787,0.9422796911828634,0.9799857669076589,0.9056228449349547,0.7365744825830101,0.8815950132635736,0.8821945143366948,0.9119368635756111,0.8591455800420891,0.7070488043534431,0.4306328445644261,0.9012966455627627,0.8792424407057121,-0.6853504521994436,0.923761723259275,0.8269406545269447,0.9221962771665774,0.9539831610530631,0.9569417711874214,0.89584992224512,0.9314159835117748,0.7429620397307957,0.7323101798513633,0.8508034101587877,0.9096573877131593,0.8398189317950701,0.9274513823863425,0.8819852106581861,0.2567359406318744,0.7986780785047757,0.9616802573114684,0.23453883585457375,0.7887330285388207,-0.6271491456086838,0.9393456875531064,0.7311739393593203,0.8502961047090275,0.7220833119149782,0.9346615065799467,0.9425191104524798,0.8843644917998056,0.48134680276881797,0.21737125206621463,0.9327930412052732,-0.4985925786125045,0.4071167268512067,0.8663417855682934,0.8484100416658099,0.7354554260761713,0.8731332498612608
